dilatar(rgb(somaImg(WHITE, WHITE, 55)), sub(sen(8), mult(3, 89)))

0,-0.00,0.39,0.09,0.11,299.30
1,0.01,0.39,0.22,0.14,109.86
2,0.11,0.39,0.37,0.05,224.66
3,0.39,0.39,0.39,0.00,392.14
4,0.39,0.39,0.39,0.00,398.09
5,0.39,0.39,0.39,0.00,478.94
6,0.39,0.39,0.39,0.00,461.66
7,0.39,0.39,0.39,0.00,457.30
8,0.39,0.39,0.39,0.00,464.35
9,0.39,0.39,0.39,0.00,481.53
10,0.39,0.39,0.39,0.00,500.99
11,0.39,0.39,0.39,0.00,471.87
12,0.39,0.39,0.39,0.00,455.62
13,0.39,0.39,0.39,0.00,437.98
14,0.39,0.39,0.39,0.00,498.79
15,0.39,0.39,0.39,0.00,529.07
