somaImg(noise(log(max(55, 5), sub(3, 89)), log(1, 3)), filtroBilateral(rgb(filtroBilateral(rgb(erodir(WHITE, 3)), cos(2))), 8), sub(log(5, 1), div(1, 5)))

0,-0.00,0.14,0.02,0.02,260.14
1,0.01,0.09,0.03,0.02,101.11
2,0.02,0.10,0.05,0.02,227.88
3,0.04,0.10,0.07,0.02,340.42
4,0.04,0.12,0.09,0.01,404.01
5,0.08,0.13,0.10,0.01,475.69
6,0.09,0.16,0.11,0.01,626.36
7,0.10,0.23,0.13,0.02,680.29
8,0.12,0.26,0.15,0.03,641.31
9,0.12,0.42,0.19,0.05,607.50
10,0.16,0.42,0.25,0.07,406.01
11,0.16,0.42,0.33,0.07,332.52
12,0.26,0.42,0.39,0.05,302.47
13,0.34,0.42,0.42,0.01,315.91
14,0.42,0.42,0.42,0.00,332.87
15,0.42,0.42,0.42,0.00,349.07
